id, link, leftTime
24_1_0, -295949_0_r, 39758.0
24_1_0, -299042_0_r, 39760.0
24_1_0, -292912_0_r, 39768.0
24_1_0, -282262_0_r, 39772.0
24_1_0, -285105_0_r, 39776.0
24_1_0, -301460_0_r, 39784.0
24_1_0, -299547_0_r, 39796.0
24_1_0, -288055_0_r, 39803.0
24_1_0, -300560_0_r, 39813.0
24_1_0, -290312_0_r, 39815.0
24_1_0, -294095_0_r, 39824.0
24_1_0, -301957_0, 39835.0
24_1_0, -301957_1, 39840.0
24_1_0, -283523_0, 39853.0
24_1_0, -296582_0, 39858.0
24_1_0, -296582_1, 39905.0
24_1_0, -286233_0, 39913.0
24_1_0, -293052_0, 39918.0
24_1_0, -296882_1, 39924.0
24_1_0, -293674_2, 39927.0
24_1_0, -293674_3, 39937.0
24_1_0, -290927_0, 39942.0
24_1_0, -286234_0, 39977.0
24_1_0, -283527_0, 39986.0
24_1_0, -301960_0, 39995.0
24_1_0, -289683_1, 40000.0
24_1_0, -289683_2, 40001.0
24_1_0, -289683_3, 40002.0
24_1_0, -289683_4, 40003.0
24_1_0, -289683_5, 40004.0
24_1_0, -289683_6, 40010.0
24_1_0, -289683_7, 40033.0
24_1_0, -289683_8, 40039.0
24_1_0, -301961_0, 40043.0
24_1_0, -299055_0, 40045.0
24_1_0, -299055_1, 40048.0
24_1_0, -299055_2, 40054.0
24_1_0, -289686_0, 40055.0
24_1_0, -283520_1, 40058.0
24_1_0, -283520_2, 40061.0
24_1_0, -283520_3, 40063.0
24_1_0, -283520_4, 82847.0
24_1_0, -298129_0_r, 82852.0
24_1_0, -284520_0_r, 82857.0
24_1_0, -302138_0, 82859.0
24_1_0, -304225_1, 82864.0
24_1_0, -304225_2, 82869.0
24_1_0, -304225_3, 82872.0
24_1_0, -304225_4, 82883.0
24_1_0, -283531_0, 82906.0
24_1_0, -283531_1, 82912.0
24_1_0, -283531_2, 82914.0
24_1_0, -283531_3, 82915.0
24_1_0, -283531_4, 82920.0
24_1_0, -283531_5, 82936.0
24_1_0, -283528_0, 82965.0
24_1_0, -293053_0, 82973.0
24_1_0, -289679_0, 82983.0
24_1_0, -300901_0, 82988.0
24_1_0, -296997_1, 82991.0
24_1_0, -296997_2, 82993.0
24_1_0, -296997_3, 82997.0
24_1_0, -296997_4, 83001.0
24_1_0, -292193_0, 83012.0
24_1_0, -290925_0, 83038.0
24_1_0, -286232_0, 83059.0
24_1_0, -286232_1, 83063.0
24_1_0, -286232_2, 83067.0
24_1_0, -299103_0, 83083.0
24_1_0, -299823_2, 83085.0
24_1_0, -299823_3, 83086.0
24_1_0, -299823_4, 83088.0
24_1_0, -296935_0, 83094.0
24_1_0, -293426_0, 83099.0
24_1_0, -286162_0, 83101.0
24_1_0, -298012_0, 83105.0
24_1_0, -294095_0, 83114.0
24_1_0, -290312_0, 83116.0
24_1_0, -300560_0, 83126.0
24_1_0, -288055_0, 83133.0
24_1_0, -299547_0, 83145.0
24_1_0, -301460_0, 83153.0
24_1_0, -285105_0, 83157.0
24_1_0, -282262_0, 83161.0
24_1_0, -292912_0, 83169.0
24_1_0, -299042_0, 83171.0
24_1_0, -295949_0, 83187.0
24_1_0, -285878_0, 83193.0
24_1_0, -295462_0, 83199.0
24_1_0, -296499_0, 83206.0
24_1_0, -297570_0, 83209.0
24_1_0, -297120_0, 83214.0
24_1_0, -291407_0, 83219.0
24_1_0, -297980_0, 83227.0
24_1_0, -286225_0, 83228.0
24_1_0, -282108_0_r, 83237.0
24_1_0, -302361_0_r, 83248.0
24_1_0, -299037_0, 83259.0
24_1_0, -291390_0, 83274.0
24_1_0, -299868_0, 83282.0
24_1_0, -287191_0_r, 83285.0
