27_2_0_1:	39653.0	39965.0	312.0
12_2_4_1:	40254.0	40264.0	10.0
24_1_2_2:	68464.0	68479.0	15.0
12_2_4_2:	83454.0	83498.0	44.0
27_2_0_2:	82853.0	83150.0	297.0
19_1_0_2:	68435.0	69026.0	591.0
19_1_0_1:	25235.0	25825.0	590.0
3_2_0_2:	82806.0	82818.0	12.0
3_2_0_1:	39606.0	39609.0	3.0
0_2_0_1:	39601.0	39763.0	162.0
20_1_0_1:	25251.0	25350.0	99.0
0_2_0_2:	82801.0	82933.0	132.0
20_2_6_1:	40215.0	40216.0	1.0
20_1_0_2:	68451.0	68567.0	116.0
20_2_6_2:	83415.0	83416.0	1.0
25_2_1_2:	83024.0	83066.0	42.0
25_2_1_1:	39824.0	39852.0	28.0
10_2_1_2:	83332.0	83838.0	506.0
10_2_1_1:	40132.0	40624.0	492.0
28_2_1_1:	40009.0	40037.0	28.0
28_2_1_2:	83209.0	83251.0	42.0
8_1_6_2:	68575.0	68814.0	239.0
23_1_1_1:	25247.0	25277.0	30.0
8_1_6_1:	25375.0	25604.0	229.0
25_1_2_2:	69051.0	69052.0	1.0
25_1_2_1:	25851.0	25852.0	1.0
10_1_3_2:	68961.0	69441.0	480.0
10_1_3_1:	25761.0	26237.0	476.0
23_1_1_2:	68447.0	68478.0	31.0
18_1_0_2:	68434.0	68519.0	85.0
18_1_0_1:	25234.0	25338.0	104.0
28_1_4_1:	25615.0	25625.0	10.0
21_1_0_1:	25239.0	25462.0	223.0
1_2_0_2:	82802.0	82966.0	164.0
21_1_0_2:	68439.0	68660.0	221.0
1_2_0_1:	39602.0	39783.0	181.0
24_2_0_2:	82847.0	83221.0	374.0
24_2_0_1:	39647.0	39999.0	352.0
12_2_3_1:	40234.0	40251.0	17.0
24_1_1_2:	68457.0	68458.0	1.0
24_1_1_1:	25257.0	25258.0	1.0
12_2_3_2:	83434.0	83483.0	49.0
3_2_1_1:	39614.0	39615.0	1.0
3_2_1_2:	82814.0	82831.0	17.0
17_1_0_1:	25233.0	25506.0	273.0
28_1_4_2:	68815.0	68859.0	44.0
25_2_0_1:	39648.0	39808.0	160.0
20_2_5_2:	83255.0	83315.0	60.0
20_2_5_1:	40055.0	40077.0	22.0
17_1_0_2:	68433.0	68707.0	274.0
25_2_0_2:	82848.0	83015.0	167.0
22_1_0_1:	25241.0	25546.0	305.0
22_1_0_2:	68441.0	68739.0	298.0
28_2_2_1:	40035.0	40036.0	1.0
28_2_2_2:	83235.0	83236.0	1.0
