tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
114P04552,I-5 N,NORTHBOUND,FAIRVIEW AVE/MERCER ST/EXIT 167,WA,KING,98102,47.626504,-122.3286146,47.6303674,-122.3262464,0.296587,7.0,America/Los_Angeles,P1,USA,104,1,N,1,80389,2,1,12,5,2,1,5,234388,5283,5195,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114P04551,I-5 N,NORTHBOUND,OLIVE WAY/EXIT 166,WA,KING,98101,47.6126266,-122.3303738,47.6204484,-122.3285272,0.549292,5.001,America/Los_Angeles,P1,USA,104,1,N,1,80389,2,1,12,5,2,1,5,218191,4732,4996,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08089,BATTERY ST,NORTHBOUND,WA-99/DENNY WAY/AURORA AVE,WA,KING,98121,47.61721,-122.343857,47.6174208,-122.3436418,0.017684,4.0,America/Los_Angeles,P1,USA,461,4,N,2,80389,2,2,4,99,4,1,99,44651,1085,509,1,100,0,0,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04196,I-5,SOUTHBOUND,UNION ST/EXIT 165,WA,KING,98101,47.615083,-122.329661,47.612063,-122.330909,0.216585,140.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,11,5,2,1,5,213381,4615,4865,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04195,I-5,SOUTHBOUND,SENECA ST/EXIT 165,WA,KING,98101,47.610651,-122.331353,47.6088222,-122.3311768,0.127108,142.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,11,5,2,1,5,213381,4615,4865,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04197,I-5,SOUTHBOUND,OLIVE WAY/EXIT 166,WA,KING,98102,47.6203726,-122.3286486,47.6187754,-122.3287042,0.110405,138.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,12,5,2,1,5,222881,4846,5123,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04194,I-5,SOUTHBOUND,JAMES ST/EXIT 164,WA,KING,98104,47.604396,-122.3277262,47.6043172,-122.3276616,0.00622,143.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,7,5,2,1,5,147013,3210,3403,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04193,I-5,SOUTHBOUND,I-90/DEARBORN ST/EXIT 164,WA,KING,98104,47.6027904,-122.3262186,47.595858,-122.320529,0.56318,145.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,,7,5,2,1,5,167093,4695,7653,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-10501,S JACKSON ST,WESTBOUND,1ST AVE,WA,KING,98104,47.599214,-122.329692,47.5992078,-122.3341338,0.206929,5.0,America/Los_Angeles,P1,USA,1197,3,N,3,80389,2,,2,,1,1,,8314,333,333,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-11557,PINE ST,WESTBOUND,2ND AVE,WA,KING,98101,47.6112434,-122.3376098,47.6102856,-122.3398392,0.123181,3.0,America/Los_Angeles,P1,USA,1392,4,N,3,80389,1,,2,,1,1,,4897,203,102,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-10502,S JACKSON ST,WESTBOUND,2ND AVENUE EXT,WA,KING,98104,47.599212,-122.329041,47.599214,-122.329692,0.030329,4.0,America/Los_Angeles,P1,USA,1197,3,N,3,80389,2,,4,,1,1,,12935,517,259,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10273,FAIRVIEW AVE N,NORTHBOUND,MERCER ST,WA,KING,98109,47.617383,-122.334482,47.624576,-122.334382,0.497569,1.0,America/Los_Angeles,P1,USA,1117,3,N,3,80389,2,,4,,1,1,,17940,657,657,1,91,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08080,ALASKAN WAY,NORTHBOUND,BROAD ST,WA,KING,98121,47.612799,-122.351166,47.615022,-122.354842,0.231753,5.0,America/Los_Angeles,P1,USA,459,3,N,3,80389,2,,4,,1,1,,12205,457,457,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-09919,BROAD ST,WESTBOUND,ALASKAN WAY,WA,KING,98121,47.618569,-122.350408,47.615022,-122.354842,0.321454,4.0,America/Los_Angeles,P1,USA,1001,3,N,3,80389,2,,4,,1,1,,7520,424,424,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
