114N04551,32.6,36.649,67.669,82.421,59.074,43.53
114N04552,18.657,18.693,53.401,88.958,64.592,23.626
114N08101,,11.45,8.37,9.9275,5.52,
114N10168,12.81714286,23.702,17.398,20.249,23.529,21.425
114N10562,21.565,22.385,33.803,30.919,33.374,36.392
114P04193,44.442,103.236,179.335,184.575,193.994,185.809
114P04194,11.491,18.732,22.571,23.481,26.581,26.546
114P04195,28.041,35.498,41.3,42.978,46.026,47.515
114P04196,7.482,8.786,9.922,10.186,9.916,9.651
114P04197,31.079,34.746,41.03,43.876,41.776,38.397
114P04198,45.279,48.798,64.291,67.169,59.649,58.882
114P04548,11.694,19.033,22.401,22.351,22.892,21.862
114P04549,5.883,8.687,10.102,10.829,11.092,9.132
114P04551,65.449,49.26,54.81,58.749,56.467,50.4
114P04552,19.234,20.43666667,27.975,25.675,25.49166667,26.82222222
114P10168,21.8175,27.034,20.551,23.985,22.861,18.166
114P10562,22.79571429,24.21875,32.936,31.295,32.003,32.14875
114P10991,24.54333333,24.484,28.244,35.255,29.19,22.693
