Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
35	09:38:23	09:38:23	09:38:23	09:38:23	09:38:23	09:38:23			09:38:23	09:38:23	09:38:26	09:38:26	09:38:26	09:38:26	09:38:26	09:38:26			09:38:27	09:38:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
36	09:38:27	09:38:27	09:38:27	09:38:27	09:38:27	09:38:27			09:38:27	09:38:27	09:38:30	09:38:30	09:38:30	09:38:30	09:38:30	09:38:30			09:38:31	09:38:31		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
37	09:38:31	09:38:31	09:38:31	09:38:31	09:38:31	09:38:31			09:38:31	09:38:31	09:38:33	09:38:33	09:38:33	09:38:33	09:38:33	09:38:33			09:38:34	09:38:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
38	09:38:34	09:38:34	09:38:34	09:38:34	09:38:34	09:38:34			09:38:34	09:38:34	09:38:37	09:38:37	09:38:37	09:38:37	09:38:37	09:38:37			09:38:38	09:38:38		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
39	09:38:38	09:38:38	09:38:38	09:38:38	09:38:38	09:38:38			09:38:38	09:38:38	09:38:41	09:38:41	09:38:41	09:38:41	09:38:41	09:38:41			09:38:42	09:38:42		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
40	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:42	09:38:45	09:38:45	09:38:45	09:38:45	09:38:45	09:38:45	09:38:45	09:38:45	09:38:48	09:38:48		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
41	09:38:48	09:38:48	09:38:48	09:38:48	09:38:48	09:38:48			09:38:48	09:38:48	09:38:50	09:38:50	09:38:50	09:38:50	09:38:50	09:38:50			09:38:51	09:38:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
42	09:38:51	09:38:51	09:38:51	09:38:51	09:38:51	09:38:51			09:38:51	09:38:51	09:38:54	09:38:54	09:38:54	09:38:54	09:38:54	09:38:54			09:38:55	09:38:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
43	09:38:55	09:38:55	09:38:55	09:38:55	09:38:55	09:38:55			09:38:55	09:38:55	09:38:58	09:38:58	09:38:58	09:38:58	09:38:58	09:38:58			09:38:58	09:38:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
44	09:38:58	09:38:58	09:38:58	09:38:58	09:38:58	09:38:58			09:38:58	09:38:58	09:39:01	09:39:01	09:39:01	09:39:01	09:39:01	09:39:01			09:39:02	09:39:02		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
45	09:39:02	09:39:02	09:39:02	09:39:02	09:39:02	09:39:02			09:39:02	09:39:02	09:39:05	09:39:05	09:39:05	09:39:05	09:39:05	09:39:05			09:39:05	09:39:05		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
46	09:39:05	09:39:05	09:39:05	09:39:05	09:39:06	09:39:06			09:39:06	09:39:06	09:39:09	09:39:09	09:39:09	09:39:09	09:39:09	09:39:09			09:39:09	09:39:09		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
47	09:39:09	09:39:09	09:39:09	09:39:09	09:39:10	09:39:10			09:39:10	09:39:10	09:39:12	09:39:12	09:39:12	09:39:12	09:39:12	09:39:12			09:39:13	09:39:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
48	09:39:13	09:39:13	09:39:13	09:39:13	09:39:13	09:39:13			09:39:13	09:39:13	09:39:16	09:39:16	09:39:16	09:39:16	09:39:16	09:39:16			09:39:16	09:39:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
49	09:39:16	09:39:16	09:39:16	09:39:16	09:39:17	09:39:17			09:39:17	09:39:17	09:39:19	09:39:19	09:39:19	09:39:19	09:39:19	09:39:19			09:39:20	09:39:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
50	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:20	09:39:23	09:39:23	09:39:23	09:39:23	09:39:23	09:39:23	09:39:23	09:39:23	09:39:26	09:39:26		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:05
51	09:39:26	09:39:26	09:39:26	09:39:26	09:39:26	09:39:26			09:39:26	09:39:26	09:39:29	09:39:29	09:39:29	09:39:29	09:39:29	09:39:29			09:39:29	09:39:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
52	09:39:29	09:39:29	09:39:29	09:39:29	09:39:29	09:39:29			09:39:29	09:39:29	09:39:32	09:39:32	09:39:32	09:39:32	09:39:32	09:39:32			09:39:33	09:39:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
53	09:39:33	09:39:33	09:39:33	09:39:33	09:39:33	09:39:33			09:39:33	09:39:33	09:39:35	09:39:35	09:39:35	09:39:35	09:39:35	09:39:35			09:39:36	09:39:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
54	09:39:36	09:39:36	09:39:36	09:39:36	09:39:37	09:39:37			09:39:37	09:39:37	09:39:39	09:39:39	09:39:39	09:39:39	09:39:39	09:39:39			09:39:40	09:39:40		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
55	09:39:40	09:39:40	09:39:40	09:39:40	09:39:40	09:39:40			09:39:40	09:39:40	09:39:43	09:39:43	09:39:43	09:39:43	09:39:43	09:39:43			09:39:44	09:39:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
56	09:39:44	09:39:44	09:39:44	09:39:44	09:39:44	09:39:44			09:39:44	09:39:44	09:39:47	09:39:47	09:39:47	09:39:47	09:39:47	09:39:47			09:39:48	09:39:48		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
57	09:39:48	09:39:48	09:39:48	09:39:48	09:39:48	09:39:48			09:39:48	09:39:48	09:39:50	09:39:50	09:39:50	09:39:50	09:39:50	09:39:50			09:39:51	09:39:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
58	09:39:51	09:39:51	09:39:51	09:39:51	09:39:51	09:39:51			09:39:51	09:39:51	09:39:54	09:39:54	09:39:54	09:39:54	09:39:54	09:39:54			09:39:55	09:39:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
59	09:39:55	09:39:55	09:39:55	09:39:55	09:39:55	09:39:55			09:39:55	09:39:55	09:39:57	09:39:57	09:39:57	09:39:57	09:39:57	09:39:57			09:39:58	09:39:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
