ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
31	86.65907748484561	-382.7295945744465	-56.56901142279637	86.66291620793584
32	86.66069779161163	-382.7295945744465	-54.295109358556836	86.66291620793584
33	102.55437539377462	-382.7295945744465	-42.034959930585075	102.56428400940264
34	102.56144809428993	-382.7295945744465	-39.214349941012706	102.56428400940264
35	102.55755680742932	-382.7295945744465	-34.5488168395032	102.56428400940264
36	102.56067437759762	-382.7295945744465	-30.089908142804795	102.56516347732696
37	102.56454320729662	-382.7295945744465	-29.314132927526902	102.56516347732696
38	102.56420160369488	-382.7295945744465	-27.42089660508447	102.56516347732696
39	102.55383070355555	-382.7295945744465	-24.906082681852748	102.56516347732696
40	102.5633869437763	-382.7295945744465	-19.379323454411928	102.56516347732696
41	102.56552650909508	-382.7295945744465	-17.56982678534015	102.56552650909508
42	102.56488140965791	-382.7295945744465	-16.457723705772136	102.56552650909508
43	102.56330021896056	-382.7295945744465	-15.37758749520057	102.56552650909508
44	102.56414506795677	-382.7295945744465	-13.198370073318012	102.56552650909508
45	102.56243623972355	-382.7295945744465	-7.99902350752286	102.56552650909508
46	102.55925736826875	-382.7295945744465	-5.516979861728272	102.56552650909508
47	102.56383477429473	-382.7295945744465	-3.8976954636534265	102.56552650909508
48	102.56415564516769	-382.7295945744465	-2.7152844164766217	102.56552650909508
49	102.56143709062884	-382.7295945744465	1.2962497918230422	102.56552650909508
50	102.56030525209499	-382.7295945744465	3.8059978626974265	102.56552650909508
51	102.56345049815098	-382.7295945744465	5.968161149253939	102.56552650909508
52	102.56460681536484	-382.7295945744465	6.635103210035101	102.56552650909508
53	102.56291777056623	-382.7295945744465	7.634116708383921	102.56552650909508
54	102.56438529321721	-382.7295945744465	9.654155214167488	102.56552650909508
55	102.56301786245628	-382.7295945744465	10.871507441618204	102.56552650909508
56	102.56499871702354	-382.7295945744465	11.118979368731061	102.56552650909508
57	102.56359773531474	-382.7295945744465	11.787212953096146	102.56552650909508
58	102.56447646386998	-382.7295945744465	13.89417471266371	102.56552650909508
59	102.56414634704164	-382.7295945744465	14.433207636286726	102.56552650909508
60	102.56166859450765	-382.7295945744465	15.987199570291304	102.56552650909508
61	102.55290567633037	-382.7295945744465	17.988860983559423	102.56552650909508
62	102.563161619726	-382.7295945744465	19.101861585597614	102.56552650909508
63	102.56272925567697	-382.7295945744465	21.383604423805494	102.56552650909508
64	102.5645759568535	-382.7295945744465	22.42960211452968	102.56552650909508
65	102.56294921325804	-382.7295945744465	23.491470656625243	102.56552650909508
66	102.56305765715734	-382.7295945744465	25.037799098993975	102.56562153184132
67	102.5620018347408	-382.7295945744465	26.226312959042094	102.56562153184132
68	102.56296785642867	-382.7295945744465	27.470308042905216	102.56562153184132
69	102.56419362203896	-382.7295945744465	30.039899414977278	102.56562153184132
70	102.55670472362911	-382.7295945744465	32.49917999797936	102.56562153184132
71	102.55803918977347	-382.7295945744465	33.84595806220109	102.56562153184132
72	102.56440775691262	-382.7295945744465	34.28767544238774	102.56562153184132
73	102.55472631656163	-382.7295945744465	35.34741347600975	102.56562153184132
74	102.56083051352995	-382.7295945744465	36.43544342470841	102.56562153184132
75	102.5634335979188	-382.7295945744465	37.51602403123939	102.56576398138847
76	102.56207908466949	-382.7295945744465	38.03271798377956	102.56576398138847
77	102.56365510690196	-382.7295945744465	38.90144970270483	102.56576398138847
78	102.55738614357101	-382.7295945744465	40.40579654599393	102.56576398138847
79	102.56437682367111	-382.7295945744465	40.98410909263735	102.56576398138847
80	102.56330820737571	-382.7295945744465	41.601918316406994	102.56576398138847
81	102.56310706571878	-382.7295945744465	42.17177368275723	102.56576398138847
82	102.56574027575988	-382.7295945744465	42.577535853134094	102.56576398138847
83	102.56269357659683	-382.7295945744465	42.98010219149049	102.56576398138847
84	102.56389921865528	-382.7295945744465	43.53506464101595	102.56576398138847
85	102.55958273280523	-382.7295945744465	44.159281921104714	102.56576398138847
86	102.56419150494948	-382.7295945744465	44.72612654541883	102.56576398138847
