Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
29	12:22:19	12:22:19	12:22:19	12:22:19	12:22:19	12:22:19			12:22:19	12:22:19	12:22:20	12:22:20	12:22:20	12:22:20	12:22:20	12:22:20			12:22:21	12:22:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
30	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:21	12:22:22	12:22:22	12:22:22	12:22:22	12:22:22	12:22:22	12:22:22	12:22:22	12:22:24	12:22:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
31	12:22:24	12:22:24	12:22:24	12:22:24	12:22:24	12:22:24			12:22:24	12:22:24	12:22:25	12:22:25	12:22:25	12:22:25	12:22:25	12:22:25			12:22:26	12:22:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
32	12:22:26	12:22:26	12:22:26	12:22:26	12:22:26	12:22:26			12:22:26	12:22:26	12:22:27	12:22:27	12:22:27	12:22:27	12:22:27	12:22:27			12:22:27	12:22:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
33	12:22:28	12:22:28	12:22:28	12:22:28	12:22:28	12:22:28			12:22:28	12:22:28	12:22:29	12:22:29	12:22:29	12:22:29	12:22:29	12:22:29			12:22:29	12:22:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
34	12:22:29	12:22:29	12:22:29	12:22:29	12:22:29	12:22:29			12:22:29	12:22:29	12:22:30	12:22:30	12:22:30	12:22:30	12:22:30	12:22:30			12:22:31	12:22:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
35	12:22:31	12:22:31	12:22:31	12:22:31	12:22:31	12:22:31			12:22:31	12:22:31	12:22:32	12:22:32	12:22:32	12:22:32	12:22:32	12:22:32			12:22:33	12:22:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
36	12:22:33	12:22:33	12:22:33	12:22:33	12:22:33	12:22:33			12:22:33	12:22:33	12:22:34	12:22:34	12:22:34	12:22:34	12:22:34	12:22:34			12:22:34	12:22:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
37	12:22:34	12:22:34	12:22:34	12:22:34	12:22:34	12:22:34			12:22:34	12:22:34	12:22:36	12:22:36	12:22:36	12:22:36	12:22:36	12:22:36			12:22:36	12:22:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
38	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37			12:22:37	12:22:37	12:22:37	12:22:37	12:22:38	12:22:38	12:22:38	12:22:38			12:22:39	12:22:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
39	12:22:39	12:22:39	12:22:39	12:22:39	12:22:39	12:22:39			12:22:39	12:22:39	12:22:39	12:22:39	12:22:39	12:22:39	12:22:39	12:22:39			12:22:40	12:22:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
40	12:22:40	12:22:40	12:22:40	12:22:40	12:22:41	12:22:41	12:22:41	12:22:41	12:22:41	12:22:41	12:22:42	12:22:42	12:22:42	12:22:42	12:22:42	12:22:42	12:22:42	12:22:42	12:22:45	12:22:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:02	00:00:04
41	12:22:45	12:22:45	12:22:45	12:22:45	12:22:45	12:22:45			12:22:45	12:22:45	12:22:46	12:22:46	12:22:46	12:22:46	12:22:46	12:22:46			12:22:46	12:22:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
42	12:22:46	12:22:46	12:22:46	12:22:46	12:22:46	12:22:46			12:22:46	12:22:46	12:22:47	12:22:47	12:22:47	12:22:47	12:22:47	12:22:47			12:22:48	12:22:48		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
43	12:22:48	12:22:48	12:22:48	12:22:48	12:22:49	12:22:49			12:22:49	12:22:49	12:22:49	12:22:49	12:22:49	12:22:49	12:22:49	12:22:49			12:22:50	12:22:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
44	12:22:50	12:22:50	12:22:50	12:22:50	12:22:50	12:22:50			12:22:50	12:22:50	12:22:51	12:22:51	12:22:51	12:22:51	12:22:51	12:22:51			12:22:52	12:22:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
45	12:22:52	12:22:52	12:22:52	12:22:52	12:22:52	12:22:52			12:22:52	12:22:52	12:22:53	12:22:53	12:22:53	12:22:53	12:22:53	12:22:53			12:22:54	12:22:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
