ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
35	52.63425493326732	-382.7295945744465	-70.3883116990343	52.63692366125255
36	52.633389816271475	-382.7295945744465	-66.36188713064554	52.63708889919711
37	52.636513991794686	-382.7295945744465	-65.6661762508847	52.63708889919711
38	52.635854512922236	-382.7295945744465	-63.94800701487382	52.63708889919711
39	52.6285465958578	-382.7295945744465	-61.6963679173137	52.637171198974016
40	52.636677196404776	-382.7295945744465	-56.71023300795712	52.637253351161526
41	52.63754176859875	-382.7295945744465	-55.09828657064455	52.63754176859875
42	52.63708995804307	-382.7295945744465	-54.10731719556627	52.63754176859875
43	52.63700720219005	-382.7295945744465	-53.13581843070336	52.63754176859875
44	52.635653148418754	-382.7295945744465	-51.15518638021978	52.63754176859875
45	52.63515039367122	-382.7295945744465	-46.50523896206445	52.637582607192115
46	52.63556736182978	-382.7295945744465	-44.29244521285721	52.637582607192115
47	52.63696639499799	-382.7295945744465	-42.82865773842887	52.63774654161834
48	52.636880915356535	-382.7295945744465	-41.77815915513364	52.63774654161834
49	52.635857461002225	-382.7295945744465	-38.18494619013005	52.637828887801646
50	52.63462451322864	-382.7295945744465	-35.92763634260121	52.63791151473215
51	52.63692557212173	-382.7295945744465	-33.97918977254783	52.63791151473215
52	52.63721000061243	-382.7295945744465	-33.379323037903504	52.63791151473215
53	52.6372984362899	-382.7295945744465	-32.476169163487945	52.63844731065027
54	52.63816034276445	-382.7295945744465	-30.666031593700403	52.638612223085154
55	52.63750217267153	-382.7295945744465	-29.561703109339	52.638612223085154
56	52.636802346552415	-382.7295945744465	-29.33925367669808	52.638612223085154
57	52.637462369324545	-382.7295945744465	-28.734118160501154	52.638612223085154
58	52.637709488952574	-382.7295945744465	-26.85484822678091	52.638612223085154
59	52.63799581844946	-382.7295945744465	-26.374175279286117	52.638612223085154
60	52.634832540293665	-382.7295945744465	-24.970783747063155	52.638612223085154
61	52.63199790384074	-382.7295945744465	-23.17979765676879	52.638612223085154
62	52.63647672186169	-382.7295945744465	-22.167698033906902	52.638694409290636
63	52.63692710404787	-382.7295945744465	-20.119771964943254	52.638694409290636
64	52.637872738381105	-382.7295945744465	-19.18396127735076	52.638694409290636
65	52.63639756489566	-382.7295945744465	-18.234808203399645	52.638735582138494
66	52.63597942393183	-382.7295945744465	-16.84198288949853	52.638735582138494
67	52.63659812088149	-382.7295945744465	-15.776000194268411	52.638735582138494
68	52.63704916579189	-382.7295945744465	-14.659701581720803	52.638735582138494
69	52.63836540043984	-382.7295945744465	-12.369790646202325	52.63910650011641
70	52.63360270586246	-382.7295945744465	-10.179331774508945	52.63910650011641
71	52.63367783932563	-382.7295945744465	-8.974318879524027	52.63910650011641
72	52.638611609156236	-382.7295945744465	-8.57881528502082	52.63910650011641
73	52.63549648821969	-382.7295945744465	-7.618092447701513	52.639189054595505
74	52.63696768946843	-382.7295945744465	-6.649223252696658	52.639189054595505
75	52.637421586712136	-382.7295945744465	-5.68198606160149	52.63939486473449
76	52.63656415962864	-382.7295945744465	-5.217388301302189	52.63939486473449
77	52.637463069797796	-382.7295945744465	-4.439192687210967	52.63939486473449
78	52.63536717437982	-382.7295945744465	-3.09419864499954	52.63939486473449
79	52.63886038134535	-382.7295945744465	-2.580428245632527	52.63939486473449
80	52.63688651114842	-382.7295945744465	-2.0268760810666286	52.63939486473449
81	52.63676959041376	-382.7295945744465	-1.5171809824152982	52.63939486473449
82	52.63923102782467	-382.7295945744465	-1.1474003160537194	52.63947712181252
83	52.63787310415362	-382.7295945744465	-0.7873714723118986	52.63947712181252
84	52.637217531858326	-382.7295945744465	-0.29375050602457253	52.63947712181252
85	52.6359780364787	-382.7295945744465	0.26865188796078227	52.63947712181252
